Province,Year,Number of projects,Total registered capital (Mill. USD),Income,Poverty Rate,Number of Enterprises,Employment Rate,Trained Labour Rate,Governance Score,Quintile 1,Quintile 2,Quintile 3,Quintile 4,Quintile 5,Ratio,Index of Industrial Output,RuralPop,UrbanPop,UrbanPercent,RuralPercent
Bình Phước,2014,128,956200000,2692000,6.7,2014,59.4,15.7,34.98,864,1595,2180,3026,5803,6.716435185,111.2,752200,180300,0.193351206,0.806648794
Bình Phước,2015,160,1213100000,2693000,6,2229,58.7,12.9,35.39,860,1589,2174,3019,5792,6.734883721,106.8,750600,196600,0.207559122,0.792440878
Bình Phước,2016,180,1436400000,3132000,6.7,2764,59.2,14.1,35.53,1039,1853,2481,3316,7004,6.741097209,106,755700,207000,0.215020256,0.784979745
Bình Phước,2017,202,1960800000,3148000,6,4046,59.3,14,37,1034,1853,2481,3316,7093,6.859767892,108.8,755900,216600,0.222724936,0.777275064
Bình Phước,2018,229,2388700000,3603000,4.4,4471,58.1,16.8,36.89,1126,1974,2721,3679,8535,7.579928952,112.3,757600,227300,0.230784851,0.769215149
Bình Phước,2019,276,2812100000,3881000,3.7,5108,59,15.8,36.47,1071,2467,3282,4418,8208,7.663865546,111.9,759200,238500,0.239049815,0.760950185
Bình Phước,2020,331,3262900000,4039000,3,5831,58.1,18.1,36.18,1304,2417,3419,4475,8614,6.605828221,111.7,768000,243000,0.240356083,0.759643917
Bình Phước,2021,379,3732400000,4002000,2.7,6216,57,19.2,29.82,1554,2622,3392,4368,8104,5.214929215,117.2,776700,247500,0.241652021,0.758347979
Tây Ninh,2011,202,1442600000,1435000,5.5,2040,58.9,9,32.54,554,771,1005,1342,3494,6.306859206,117,911900,169100,0.156429232,0.843570768
Tây Ninh,2013,214,2007500000,2100000,3.7,2194,58.5,11.6,34.89,811,1222,1537,1959,4952,6.106041924,119.2,923900,173000,0.157717203,0.842282797
Tây Ninh,2014,236,2754800000,2796000,2.9,2252,57.1,11.8,35.09,1084,1593,2053,2606,6657,6.141143911,115.5,897700,206500,0.187013222,0.812986778
Tây Ninh,2015,237,3146300000,2796000,2.1,2348,57.6,14.2,35.74,1081,1589,2051,2606,6650,6.151711378,114.1,923000,206900,0.18311355,0.81688645
Tây Ninh,2016,256,4208800000,3383000,2.5,2614,57.4,15.4,36.86,1285,1979,2539,3249,7901,6.148638132,111.8,932500,207200,0.181802229,0.818197771
Tây Ninh,2017,271,5052100000,3391000,2.2,3665,59.4,14.1,37.33,1282,1979,2539,3249,7946,6.198127925,115.5,943600,207500,0.180262358,0.819737642
Tây Ninh,2018,294,5799800000,4258000,1.7,3842,57.5,14.8,36.2,1501,2477,3224,4252,9888,6.587608261,115.8,952900,207800,0.179029896,0.820970104
Tây Ninh,2019,323,6990400000,4549000,1.2,3996,59.4,12.7,35.74,1482,2649,3928,4909,9824,6.628879892,116,963400,208300,0.177775881,0.822224119
Tây Ninh,2020,338,7680600000,4246000,1.1,4352,57.8,14.7,35.48,1674,2760,3605,4503,8708,5.201911589,107.3,797200,381100,0.323432063,0.676567937
Tây Ninh,2021,350,8503600000,4036000,0.8,4560,54.1,16,31.75,1558,2549,3347,4513,8240,5.288831836,101.5,799300,382600,0.32371605,0.67628395
Bình Dương,2011,2135,15461600000,2698000,0.2,8600,62.3,15,37.13,980,1295,1755,2441,7014,7.157142857,111.9,607200,1084200,0.64100745,0.358992551
Bình Dương,2013,2370,19488100000,3568000,0.1,11101,64.9,17,38,1138,2095,2853,3808,7905,6.946397188,111.7,639700,1162700,0.645084332,0.354915668
Bình Dương,2014,2513,20086400000,3768000,0,12069,66.1,18.1,38.9,1287,2110,2780,3683,9000,6.993006993,107.2,434700,1438800,0.76797438,0.232025621
Bình Dương,2015,2731,24026000000,3769000,0,13245,65.2,16.8,32.86,1282,2102,2774,3671,8945,6.977379095,109.3,481700,1587500,0.767204717,0.232795283
Bình Dương,2016,3050,26599700000,5306000,1.1,15229,62.6,16.1,32.59,1887,2933,3737,4857,13171,6.979862215,108.1,506500,1632300,0.763184964,0.236815037
Bình Dương,2017,3305,30339000000,5005000,0.9,22976,64.9,18.7,33.49,1671,2933,3739,4919,11819,7.073010174,110.4,530300,1696900,0.761898348,0.238101652
Bình Dương,2018,3519,31758500000,6823000,0.7,27566,65,20.6,36.2,2177,4001,5012,6795,16171,7.428112081,108.4,469500,1875700,0.799803855,0.200196145
Bình Dương,2019,3778,34341600000,7433000,0.6,31599,65.3,21.9,36.38,2152,4454,6396,8183,15993,7.43169145,109,494500,1961900,0.798689139,0.201310861
Bình Dương,2020,3937,37579600000,7034000,0.1,34836,61.9,20.1,34.89,3105,4709,6085,8203,13119,4.225120773,106.1,402400,2178200,0.844067271,0.155932729
Bình Dương,2021,4022,37791600000,7123000,0,37668,62.4,21,34.82,3581,5033,6548,8088,12380,3.457134879,103,407100,2189700,0.843230129,0.156769871
Đồng Nai,2011,1075,18200400000,1763000,3,7944,57.5,12.3,35.66,576,1022,1450,1941,3823,6.637152778,111.8,1762800,895200,0.336794582,0.663205418
Đồng Nai,2013,1162,19336200000,2577000,1.8,8575,56.2,16.1,35.68,895,1572,2125,2803,5475,6.117318436,107.6,1824700,948000,0.341905002,0.658094998
Đồng Nai,2014,1241,21645400000,3503000,1.2,8782,56.4,15,35.22,1274,2103,2757,3605,7787,6.112244898,107.6,1860400,978200,0.344606496,0.655393504
Đồng Nai,2015,1350,24025900000,3504000,0.8,9188,56.4,18.6,35.63,1273,2101,2753,3599,7775,6.107619796,107.7,1935800,954200,0.33017301,0.66982699
